# 物流模拟数据文件 —— 每行一条：订单号 | 物流信息
# 格式：6位数字订单号 ｜物流轨迹描述
# 支持自行扩充，重启服务后生效

123456 | 【顺丰速运】运单号 SF1234567890。您的包裹已到达北京市朝阳区运转中心，快递员张师傅（13800001111）正在派件中，预计今日 18:00 前送达。共 2 件包裹，请注意查收。
234567 | 【顺丰速运】运单号 SF2345678901。包裹已从深圳市南山区集散中心发出，正在运往广州市天河区途中。预计明天上午到达。当前运输车辆已进入广深高速。
345678 | 【顺丰速运】运单号 SF3456789012。您的包裹已在上海市浦东新区完成揽收，快递员李师傅（13900002222）已取件。预计 2 天后送达北京市海淀区。
456789 | 【京东物流】运单号 JD4567890123。包裹已到达成都市武侯区京东亚洲一号仓库，已完成分拣，准备发往重庆市渝中区。预计明天 14:00 前送达。
567890 | 【京东物流】运单号 JD5678901234。您的包裹已由京东自营配送站发出，配送员王师傅（13700003333）正在赶往您的地址。预计 2 小时内送达。
678901 | 【京东物流】运单号 JD6789012345。包裹在武汉市东西湖区京东仓库已打包完成，正在等待揽收。预计今天 18:00 前出库。
789012 | 【圆通速递】运单号 YT7890123456。您的包裹已到达杭州市西湖区转运中心，正在分拣中。下一站运往南京市鼓楼区，预计后天送达。
890123 | 【圆通速递】运单号 YT8901234567。包裹在广州市白云区已揽收成功，快递员正在返回网点途中。预计 3 天后送达西安市雁塔区。
901234 | 【中通快递】运单号 ZT9012345678。您的包裹已到达长沙市芙蓉区网点，正在派件中，快递员陈师傅（13600004444）。请注意接听电话。
112233 | 【中通快递】运单号 ZT1122334455。包裹在郑州市金水区已完成分拣，由郑州发往济南市的干线运输中。当前车辆位置：G4 京港澳高速河南段。预计明天傍晚到达。
223344 | 【韵达快递】运单号 YD2233445566。包裹已到达昆明市五华区韵达转运中心，正在卸车分拣。预计明天上午开始派送。
334455 | 【韵达快递】运单号 YD3344556677。您的包裹已在福州市鼓楼区完成签收。签收人：本人签收。如有疑问请联系韵达客服 95546。
